Title,URL,div_content
"Can Maruti's shares hit ₹15,000 going forward? Here's what experts say",https://www.cnbctv18.com/market/maruti-suzuki-share-price-15000-target-long-term-cng-market-share-record-high-19318701.htm,"['Shares of Maruti gained over 2% on Wednesday and are nearing the mark of ₹12,000. The stock has gained over 15% so far in the first three months of the year.Share Market LiveNSEView AllView AllThe stock has gained over 50% from its 52-week low of ₹8,127, which it fell to in March last year.Brokerage firm CLSA in a note on Wednesday wrote that CNG passenger vehicles are on the rise and this will benefit companies like Maruti and Tata Motors.The brokerage is expecting the market share of CNG passenger vehicles to rise from 15% in financial year 2024 to 22% in financial year 2030 due to the lower running costs of CNG vehicles compared to their Internal Combustion Engine (ICE) counterparts.CLSA also believes that Maruti will maintain its top position in the segment with a 72% market share.Out of the 49 analysts that track Maruti, 40 of them have a ""Buy"" recommendation on India\'s largest passenger car manufacturing company. Six of those analysts have a ""hold"" rating, while three still advice ""selling"" the stock.BrokerageRatingPrice TargetCentrumBuy₹ 15,082CitiBuy₹ 14,200CLSAAccumulate₹ 12,890EmkayReduce₹ 10,700Axis CapitalSell₹ 9,000Maruti At ₹15,000 In The Long-Term?""Maruti is bucking market volatility and riding a huge trend. The major structure target is set at ₹13,700, which might be achieved in the next 12 to 16 months, while the short-term target is ₹12,360. Its ideal for long term investors to hold & accumulate more only a decline & avoid chasing momentum,"" said Sacchitanand Uttekar of Tradebulls.""Maruti has been in a strong uptrend since 2005 with consistent formation of higher highs and higher lows. It has been moving higher in a 18-year rising channel pattern and has managed to sustain above its channel support area. It witnessed a 6-year consolidation pattern breakout on the monthly charts which was followed by further consolidation, thus making it a lucrative buy for a 50% upside,"" said Gaurav Bissa of InCred Equities.""It is trading above Williams Alligator indicator which is likely to act as a strong support at lower levels and is likely to restrict the fall. The RSI is trading at 65 levels on the monthly charts which once crosses and sustains 70 can push it towards 85 levels, which in turn can push the stock prices towards ₹15,000 levels,"" he added.Among the analysts that track the stock, only Centrum Broking has a target in excess of ₹15,000 for Maruti. Its target of ₹15,082 is the highest on the street for Maruti.In an interaction withCNBC-TV18on March 4, Maruti\'s Shashank Srivastava said that the company is hopeful of crossing 2.7 lakh units of exports by the end of this month.Maruti\'s SUV market share is now at 22% with overall market share in February at 43% due to the rise in SUV market share.Shares of Maruti Suzuki are currently trading 3% higher at ₹11,940.Continue ReadingFirst Published:Mar 20, 2024 11:13 AMISTCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsMarutiMaruti CNG carsMaruti Suzuki IndiaMaruti Suzuki share price']"
Maruti Suzuki Q3 Results: Margin expansion aided by lower costs; Exports the highest ever,https://www.cnbctv18.com/earnings/maruti-suzuki-q3-results-net-profit-margin-volumes-suv-market-share-stock-price-18934481.htm,"['India\'s largest passenger car manufacturer, Maruti Suzuki India Ltd., reported a net profit of ₹3,130 crore for the October-December period. This was higher than theCNBC-TV18poll of ₹3,050 crore.Revenue for the quarter grew by 15% from last year to ₹33,309 crore, which was marginally lower than theCNBC-TV18poll expectations of ₹33,744 crore.EBITDA or Earnings Before Interest, Tax, Depreciation and Amortisation grew by 38% from last year to ₹3,909 crore. The number was slightly lower than the ₹3,980 crore figure of theCNBC-TV18poll.EBITDA margin for the quarter stood at 11.7%, compared to the 11.8% estimate. On a year-on-year basis, the EBITDA margin expanded by 190 basis points.The management attributed the year-on-year margin improvement to softening commodity prices, improved capacity utilisation, improved realisations and cost reduction efforts, which were partially offset by higher sales promotions and advertising expenses.Maruti\'s volumes for the quarter had grown by 8% compared to the same period last year.The company mentioned that this is thehighest ever nine-monthly sales volume, net sales and net profit reported by them.Exports for the quarter stood at 71,000 units, which is also the highest ever in a quarter. ""The company continues to be the largest exporter of passenger vehicles in India,"" it said in its investor presentation.""More or less the numbers have been inline with our expectations,"" said Ashwin Patil of LKP Securities. ""Going forward, I believe that the concern starts from Q4 when the raw material prices have started increasing, and the tailwinds of Q3, will be almost gone in Q4. So, the numbers or the full year numbers need to be seen,"" he added.""I don\'t think margin pressure should come at these levels,"" said Himanshu Singh of Prabhudas Lilladher, adding that this may be because of the recent price hikes of nearly 2.5% that the company has taken. ""The increase in commodity prices is also not very substantial. So I don\'t think there will be any margin pressures going ahead from these levels, at least on my view,"" he added.Shares of Maruti Suzuki India are currently trading 2.2% higher at ₹10,175.Continue ReadingFirst Published:Jan 31, 2024 1:54 PMISTCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsMarutiMaruti Suzuki India']"
Maruti Suzuki Q2 Preview: India's largest passenger car maker likely to report a strong quarter,https://www.cnbctv18.com/earnings/maruti-suzuki-q2-preview-volumes-share-price-realisations-margin-festive-sales-18164271.htm,"[""Maruti Suzuki India Ltd., India's largest passenger car manufacturer, is likely to report a strong quarter for the July-September period led by improved volumes.ACNBC-TV18poll expects the company's revenue to grow by nearly 30% year-on-year, while margins may seen an expansion of as much as 150 basis points from the year-ago period.For the quarter, the company has seen volumes grow by 11% when compared to the June quarter.On a year-on-year basis, volumes have grown by 6.7% to 5.52 lakh units from 5.17 lakh units last year. An improved performance from the company's Utility Vehicle segment led to an improvement in volumes.Another positive aspect during the quarter has been the rising share of SUVs in the company's business mix. For the September quarter, the share of SUVs as part of overall sales stood at 37% from 21% last year.Maruti's blended realisation is also likely to grow by 24% from last year due to a better product mix and price hikes undertaken.In an interaction withCNBC-TV18earlier this week,Maruti Suzuki's management said that the auto industry may sell a million cars by Bhai Dooj, which is the last day of Diwali. This will mean a growth of 18% year-on-year in the festive season, which began with Onam in August.Shashank Srivastava, Senior Executive Director, Maruti Suzuki said that he was very positive about the next 15-20 days of the festive season.“At least three lakh more cars are expected to be sold in the next 15 days, out of this total number, Maruti would sell around 1.4 lakh cars…For Maruti Suzuki, the highest sales have come from the Brezza, Vitara, Fronx, Baleno and the Swift Dzire (during the festive season),” he toldCNBC-TV18in that exclusive interaction.While shares of Maruti Suzuki have underperformed over the last month, in-line with the broader market trend, they have surged nearly 25% so far in 2023 and are trading close to record high levels.Continue ReadingFirst Published:Oct 27, 2023 8:13 AMISTCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsMarutiMaruti Suzuki""]"
Auto This Week: Mercedes-Benz launches new AMG SL 55; Maruti begins bookings for ‘Invicto’ and more,https://www.cnbctv18.com/auto/auto-this-week-mercedes-benz-launches-new-amg-sl-55-maruti-begins-bookings-for-invicto-and-more-17027461.htm,"['From Mercedes Benz’s AMG SL 55 to KTM’s updated Duke 200, the week saw quite a few new releases in the automobile sector. India’s largest carmaker Maruti Suzuki opened bookings for its MPV Invicto while Komaki unveiled its new electric scooter.Here’s a look at the top updates that made headlines in the world of automobiles:Maruti Suzuki opens bookings for ‘Invicto’ MPVMaruti Suzuki is set to launch its most expensive and the first premium MPV, the Invicto, in the Indian market on July 5. The company has started pre-bookings for the car, and customers can book it at any NEXA showroom for an amount of Rs 25,000 or by logging on to NEXA’s website.KTM’s updated Duke 200 is hereKTM has rolled out the new 2023 KTM Duke 200 in India. The new version now comes with an LED headlamp and as before, it is powered by a 199.5cc single-cylinder liquid-cooled engine that puts out 25 BHP and 19.2 Nm of torque. There has been a slight increase in price too as the bike is now priced at Rs 1.96 lakh (ex-showroom, Delhi).Mercedes-Benz AMG SL 55 roadster launched in IndiaMercedes added to its line-up of the SL series which dates back to 1954. The SL55 AMG features a 2-door design with a retractable fabric roof. The new addition will be the latest of Mercedes-Benz’s new flagship convertible sports cars. The SL 55 AMG has been introduced at a starting at Rs 2.35 crore (ex-showroom, India).Komaki launches SE electric scooterKomaki introduced the upgraded SE electric scooter with more tech and features at a starting price of Rs 96,968 (ex-showroom). The SE e-scooter now uses LiFePO4 (lithium iron phosphate) battery and comes with three engine modes with an optional Komaki SE Sport Performance Upgrade.Continue ReadingCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsKTMMarutiMercedes Benz']"
Editors' Roundtable | Auto stocks accelerate to the top,https://www.cnbctv18.com/auto/editors-roundtable-auto-stocks-accelerate-to-the-top-16959461.htm,"['In the year that has gone by so far, auto stocks have been the biggest gainers. In fact,Tata Motorsis the biggest Nifty gainer, up almost 50 percent. Bajaj Auto, which was a laggard for so many years, is up 30 percent, while Maruti is up 15 percent.In the week gone by specifically, the commentary from auto companies has been positive, both for thedomesticas well as for the global markets.During its investor meet, Ashok Leyland said the company is confident of the commercial vehicle (CV) upcycle continuing at least for the next year. It expects medium and heavy commercial vehicles to grow 10 percent and Ashok Leyland will outperform that.CEATsaid that their market share in the passenger vehicle space, which is currently 15 percent, is expected to grow to 18-20 percent within the next three years. And Maruti saw very strong bookings for their latest Jimny model. Theyhave received about 31,000 bookings and they are getting 150 bookings per day.Auto companies are very bullish on the export market as well. CEAT said the company is targeting 25 percent revenues from exports compared to 18 percent earlier. Ashok Leyland said exports will double over the next two to three years and Mahindra & Mahindra just launched their XUV700 in Australia.For more details, watch the accompanying videoContinue ReadingCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsAshok LeylandJimnyMarutiTata Motors']"
"Maruti Suzuki launches Jimny SUV at Rs 12.74 lakh, deliveries start today",https://www.cnbctv18.com/auto/maruti-suzuki-launches-jimny-suv-at-rs-1274-lakh-deliveries-start-today-16871291.htm,"[""Maruti Suzuki has finally launched its highly anticipated Jimny SUV in India at a starting price of Rs 12.74 lakh (ex-showroom). The top-specification variant of the Jimny has been priced at Rs 15.05 lakh (ex-showroom).Maruti Suzuki Jimny was introduced at the Auto Expo 2023. Maruti’s latest SUV was very well received at this year’s Auto Expo.The Jimny will be available for deliveries starting today across all NEXA showrooms in the country. Maruti Suzuki said in a press release.Jimny will be available in Zeta and Alpha variants. The SUV is being offered with a choice of two transmission modes - 4-speed automatic and 5-speed manual. The car is being touted as a lifestyle SUV, which will take forward NEXA’s design philosophy of ‘Crafted Futurism’.The Jimny SUV will come with the brand’s K15B 1.5-litre petrol engine. Thisengine is known for its refinement and delivers 105PS power and a peak torque of 134Nm.Announcing the prices of the Jimny, Hisashi Takeuchi, Managing Director & CEO, Maruti Suzuki India Limited, said, “We are privileged to introduce the legendary Jimny into the Indian market. With its timeless design and exceptional off-road capabilities powered by Suzuki's ALLGRIP PRO (4WD) technology. The launch of Jimny (5-door) marks an exhilarating milestone in our SUV portfolio and will play an important role in our goal of becoming the country’s largest SUV maker.”“India holds a significant position for Suzuki Motor Corporation not only as a domestic market but also as a global export base. It gives me immense pleasure to announce that India will proudly serve as the mother plant for the Jimny (5-door) and will be the first market for its launch. This truly reaffirms our commitment to Make-In-India for the world.” he added.The Jimny boasts of a ladder frame chassis, Suzuki's ALLGRIP PRO (4WD) technology, and a low-range transfer gear (4L mode).Jimny (5-door) Price (Ex-showroom in INR)Zeta MT 1,274,000Zeta AT 1,394,000Alpha MT 1,369,000Alpha AT 1,489,000Alpha MT (Dual Tone) 1,385,000Alpha AT (Dual Tone) 1,505,000Maruti has thrown in additional features such as LED headlamps with washers, fog lamps, electrically adjustable and retractable ORVMs, and automatic headlamps. The SUV’s 15-inch alloy wheels accentuate its sporty character.Buyers will also appreciate that features like a hard top, a clamshell bonnet, drip rails, and a tailgate-mounted spare wheel are standard across all variants.Inside, Maruti Suzuki has kept the overall design chic and ergonomic.The latest SUV from India’s biggest carmaker comes with features like a 9-inch Smart Play Pro+ infotainment system along with an HD display, automatic climate control, wireless connectivity for Apple CarPlay and Android Auto, an Arkamys surround sound system, and cruise control, which make it a great family car.ALSO READ |Maruti Jimny waiting could be over a year as bookings cross 5,000 mark in five daysThe carmaker has not compromised on safety as Jimny will come with six airbags, brake assist function, anti-lock braking system (ABS), brake limited slip differential, electronic brakeforce distribution (EBD), electronic stability program (ESP), hill hold control, hill descent control, side-impact door beams, 3-point emergency locking retractor seat belts, and a rearview camera.Jimny (5-door) Technical SpecificationsLength(mm) (a spare wheel with cover) 3985.Engine:1.5L K-series engine with Idle Start StopWidth:(mm) 1645Max Power:77.1kW@6000rpm (104.8Ps@6000 rpm)Height:(mm) 1720 MaxTorque:134.2Nm@4000rpmWheelbase:(mm) 2590Transmission:5MT/4ATFuel-efficiency:5-speed MT (16.94km/l); 4-speed AT (16.39km/l)Off-road specsApproach angle: 36°Ramp break over:angle: 24°Departure angle:47°Ground Clearance(Unladen): 210mmMaruti Suzuki Jimny will primarily compete with Mahindra’s Thar and Force Motors’ Gurkha in the Indian market.Continue ReadingFirst Published:Jun 7, 2023 1:19 PMISTCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsJimnyMarutiMaruti Suzuki""]"
Dean Kim says India market is constructive at the moment and prefers these stocks for investment,https://www.cnbctv18.com/market/dean-kim-says-india-market-is-constructive-at-the-moment-and-prefers-these-stocks-for-investment-16674061.htm,"[""The current state of the Indian equity market is constructive, which indicates favourable conditions for investors. Therefore, the constructive nature of the market, along with the positive performances of banks like HDFC Bank, Kotak Mahindra Bank, and ICICI Bank, presents potential investment opportunities.Similarly, the up move witnessed in companies like Maruti Suzuki, Eicher, and Uno Minda suggests potential growth prospects in the automotive sector. However, investors should approach the tech sector with caution and be prepared for a potentially longer recovery period.In an interview with CNBC-TV18, Dean Kim, Head-Global Research Product at William O'Neil + Co said that the current state of the Indian equity market is constructive, and it indicates favourable conditions for investors.He said, “India, we have it as a confirmed uptrend. It is the only one of two, the other one is Japan. So, it's looking great. And I do see a lot of stocks setting up in various areas, particularly financial and we do like HDFC Bank, Kotak Mahindra, ICICI, but also other banks likeState Bank of India, IndusInd Bank, Axis, all of those are setting up well.”Also Read |This analyst says Zomato, Swiggy and other food delivery platforms may have to offer more discounts“Auto manufacturers are starting to pop up. So, Tata Motors is extended, but Maruti Suzuki as well as Eicher, Uno Minda - these are all stocks that are setting up. So, the breadth of the market is impressive, it is getting wider,” he added.Kim specifically highlighted the positive performance of some key players in the banking sector, namely HDFC Bank, Kotak Mahindra Bank, and ICICI Bank. These banks have shown promising signs and have attracted investor attention with their growth potential and solid financial performance.Also Read |69% bankruptcy cases closed till FY23-end, Uday Kotak says IBC concept is great, but needs workIn addition to the banking sector, Kim also discussed the up move observed in the automotive industry. Maruti Suzuki, Eicher, and Uno Minda have been experiencing an upswing in their market positions. This up move can be attributed to factors such as increased consumer demand, product innovation, and effective market strategies implemented by these companies.However, Kim also pointed out that tech stocks might require some time to regain their momentum. This observation aligns with the current global market trend, where tech stocks, which experienced significant growth in the past, have faced some challenges and corrections in recent times.Also Read |Nomura upgrades India's oil refiners citing lower crude prices and better refining outlookIndian shares ended Monday's session on a five-month high. BSE Sensex ended at 318 points higher to 62,346 while Nifty 50 gained 84 points and ended at 18,399.For more details, watch the accompanying videoAlso, catch all the live updates on markets with CNBC-TV18.com's blogContinue ReadingFirst Published:May 16, 2023 12:15 PMISTCheck out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!Follow us on:TagsICICI BankIndian equity marketsMaruti""]"
"The good, bad and ugly of April auto sales",https://www.cnbctv18.com/photos/auto/april-auto-sales-good-bad-ugly-eicher-motors-bajaj-auto-maruti-tvs-hero-motocorp-16543711.htm,[]
